         22259709 function calls in 5.359 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   390639    0.098    0.000    0.098    0.000 algorithms.py:17(__init__)
 13283785    1.232    0.000    1.232    0.000 algorithms.py:35(__lt__)
   781308    0.128    0.000    0.128    0.000 algorithms.py:41(state_hash)
    50933    0.007    0.000    0.007    0.000 algorithms.py:49(__eq__)
   915193    0.077    0.000    0.077    0.000 algorithms.py:56(get_x)
   915193    0.067    0.000    0.067    0.000 algorithms.py:62(get_y)
  1894635    0.154    0.000    0.154    0.000 algorithms.py:68(get_g)
   426665    0.052    0.000    0.052    0.000 algorithms.py:74(set_g)
   722663    0.054    0.000    0.054    0.000 algorithms.py:80(get_cost)
   426695    0.051    0.000    0.051    0.000 algorithms.py:86(set_cost)
   390639    0.369    0.000    2.997    0.000 algorithms.py:127(_in_closed_list)
       25    0.003    0.000    0.003    0.000 algorithms.py:187(<dictcomp>)
        5    0.001    0.000    0.001    0.000 algorithms.py:199(<dictcomp>)
       30    0.309    0.010    5.359    0.179 algorithms.py:153(dijkstra)
   390669    0.349    0.000    0.522    0.000 algorithms.py:102(octile)
   407264    0.211    0.000    0.211    0.000 map.py:100(is_valid_pair)
   390639    0.056    0.000    0.056    0.000 map.py:112(cost)
    50908    0.764    0.000    1.361    0.000 map.py:123(successors)
    58645    0.018    0.000    0.029    0.000 {built-in method _heapq.heappush}
    50933    0.049    0.000    0.089    0.000 {built-in method _heapq.heappop}
    36026    1.253    0.000    2.434    0.000 {built-in method _heapq.heapify}
       30    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   175935    0.013    0.000    0.013    0.000 {built-in method builtins.abs}
    50938    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    58645    0.011    0.000    0.011    0.000 {built-in method builtins.min}
       30    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
   390639    0.028    0.000    0.028    0.000 {method 'append' of 'list' objects}


         38063244 function calls in 9.588 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   680759    0.183    0.000    0.183    0.000 algorithms.py:17(__init__)
 17946249    1.681    0.000    1.681    0.000 algorithms.py:35(__lt__)
  1361578    0.227    0.000    0.227    0.000 algorithms.py:41(state_hash)
  1585207    0.133    0.000    0.133    0.000 algorithms.py:56(get_x)
  1585207    0.117    0.000    0.117    0.000 algorithms.py:62(get_y)
