         51707149 function calls in 16.209 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2778863    0.605    0.000    0.605    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:16(__init__)
  3361586    0.781    0.000    1.048    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:33(__lt__)
  2778893    0.480    0.000    0.480    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:39(state_hash)
   363114    0.092    0.000    0.123    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:47(__eq__)
  6046689    0.503    0.000    0.503    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:54(get_x)
  5684990    0.417    0.000    0.417    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:60(get_y)
 11698200    0.950    0.000    0.950    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:66(get_g)
  2779469    0.342    0.000    0.342    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:72(set_g)
   367973    0.092    0.000    0.092    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:81(__init__)
  2778863    0.643    0.000    0.868    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:85(get_g)
   367973    0.037    0.000    0.037    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:91(get_state)
      606    0.000    0.000    0.000    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:94(set_parent)
  2778863    1.257    0.000    2.523    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:109(_in_closed_list)
       25    0.087    0.003    0.123    0.005 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:190(<dictcomp>)
       30    1.815    0.061   16.209    0.540 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:172(dijkstra)
        5    0.002    0.000    0.002    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:198(<dictcomp>)
  2904712    1.485    0.000    1.485    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:100(is_valid_pair)
  2778863    0.385    0.000    0.385    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:112(cost)
   363089    5.522    0.000    9.651    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/map.py:123(successors)
      606    0.000    0.000    0.000    0.000 /home/dekr0/Code/PycharmProjects/SearchAndPlan/Dij-BiBs/src/search/algorithms.py:97(set_g)
        1    0.000    0.000    0.140    0.140 /usr/lib/python3.10/cProfile.py:113(__enter__)
   367973    0.087    0.000    0.214    0.000 {built-in method _heapq.heappush}
   363114    0.369    0.000    1.224    0.000 {built-in method _heapq.heappop}
      606    0.024    0.000    0.091    0.000 {built-in method _heapq.heapify}
        1    0.000    0.000    0.000    0.000 {method 'enable' of '_lsprof.Profiler' objects}
       30    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   363119    0.036    0.000    0.036    0.000 {built-in method builtins.len}
       30    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
  2778863    0.194    0.000    0.194    0.000 {method 'append' of 'list' objects}


         39735341 function calls in 12.758 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
