Dijkstra,Bi-Bs,Cost
3218,2134,42.5
2522,2225,66.5
23126,17252,198.0
21969,13662,197.5
6122,7034,98.0
21300,13559,155.5
1577,4762,-1.0
24036,19414,188.5
15428,14713,175.0
1577,4922,-1.0
10932,10018,105.0
11212,11859,123.5
1577,3797,-1.0
10377,5844,85.5
516,237,15.0
19883,11618,117.5
1577,5503,-1.0
8069,6814,127.0
22196,17214,215.0
21260,11584,148.5
3073,1449,38.5
18144,15069,161.0
26855,17301,184.0
9163,3916,75.5
1577,5976,-1.0
5890,4406,71.5
8142,4472,63.5
24555,13188,139.5
22411,18941,202.5
14830,7977,176.0
